X	Bin	BpMin	BpMax	Total	Hits	RealHits	MaxHits	Chr	Pop	Colour
1	1	13830	149921	37	169	66	666	Chr4	R2	2
2	2	153653	299700	36	252	108	630	Chr4	R2	2
3	3	300624	449893	54	262	104	1431	Chr4	R2	2
4	4	450997	599998	41	231	95	820	Chr4	R2	2
5	5	601584	746405	42	176	67	861	Chr4	R2	2
6	6	762166	898433	44	92	24	946	Chr4	R2	2
7	7	902013	1049584	34	38	2	561	Chr4	R2	1
8	8	1050148	1198030	35	43	4	595	Chr4	R2	1
9	9	1205867	1345467	32	58	13	496	Chr4	R2	1
10	10	1350950	1498725	23	25	1	253	Chr4	R2	1
11	11	1503543	1649946	14	18	2	91	Chr4	R2	1
12	12	1655313	1798584	33	51	9	528	Chr4	R2	1
13	13	1804273	1947109	30	44	7	435	Chr4	R2	1
14	14	1964379	2097561	23	29	3	253	Chr4	R2	1
15	15	2105605	2249588	25	35	5	300	Chr4	R2	1
16	16	2252092	2398112	24	28	2	276	Chr4	R2	1
17	17	2401932	2543885	25	31	3	300	Chr4	R2	1
18	18	2559888	2690937	30	52	11	435	Chr4	R2	1
19	19	2708350	2842687	32	70	19	496	Chr4	R2	2
20	20	2851353	2981982	16	22	3	120	Chr4	R2	1
21	21	3002963	3145371	30	40	5	435	Chr4	R2	1
22	22	3160922	3286288	18	24	3	153	Chr4	R2	1
23	23	3307683	3438573	20	66	23	190	Chr4	R2	2
24	24	3474124	3599125	24	66	21	276	Chr4	R2	2
25	25	3609183	3705981	11	11	0	55	Chr4	R2	1
26	26	3762960	3897166	21	29	4	210	Chr4	R2	1
27	27	3902557	4021823	20	32	6	190	Chr4	R2	1
28	28	4105459	4193476	27	113	43	351	Chr4	R2	2
29	29	4203043	4341232	20	22	1	190	Chr4	R2	1
30	30	4352163	4497908	14	16	1	91	Chr4	R2	1
31	31	4502938	4647039	18	24	3	153	Chr4	R2	1
32	32	4658516	4795960	34	52	9	561	Chr4	R2	1
33	33	4803379	4949511	38	60	11	703	Chr4	R2	1
34	34	4953707	5099242	13	19	3	78	Chr4	R2	1
35	35	5106013	5248272	20	30	5	190	Chr4	R2	1
36	36	5251153	5375437	27	33	3	351	Chr4	R2	1
37	37	5403100	5548370	35	65	15	595	Chr4	R2	2
38	38	5550966	5685478	35	51	8	595	Chr4	R2	1
39	39	5701358	5840329	27	33	3	351	Chr4	R2	1
40	40	5860455	5990178	16	20	2	120	Chr4	R2	1
41	41	6001489	6129563	19	23	2	171	Chr4	R2	1
42	42	6151402	6294304	26	36	5	325	Chr4	R2	1
43	43	6302991	6447544	26	44	9	325	Chr4	R2	1
44	44	6480656	6587067	15	17	1	105	Chr4	R2	1
45	45	6613718	6735883	16	16	0	120	Chr4	R2	1
46	46	6752179	6893594	27	41	7	351	Chr4	R2	1
47	47	6900966	7043287	24	34	5	276	Chr4	R2	1
48	48	7053869	7197388	21	25	2	210	Chr4	R2	1
49	49	7204914	7346851	34	38	2	561	Chr4	R2	1
50	50	7352243	7495509	29	53	12	406	Chr4	R2	1
51	51	7560932	7639948	19	23	2	171	Chr4	R2	1
52	52	7651688	7795427	27	55	14	351	Chr4	R2	2
53	53	7803078	7945323	26	34	4	325	Chr4	R2	1
54	54	7966349	8097155	35	47	6	595	Chr4	R2	1
55	55	8102624	8238080	25	39	7	300	Chr4	R2	1
56	56	8260149	8395687	34	52	9	561	Chr4	R2	1
57	57	8400447	8547162	23	29	3	253	Chr4	R2	1
58	58	8560640	8691144	15	19	2	105	Chr4	R2	1
59	59	8703702	8847155	23	33	5	253	Chr4	R2	1
60	60	8867724	8995423	16	16	0	120	Chr4	R2	1
61	61	9001621	9130050	24	30	3	276	Chr4	R2	1
62	62	9161522	9298652	27	35	4	351	Chr4	R2	1
63	63	9308724	9446265	23	39	8	253	Chr4	R2	1
64	64	9451125	9592472	29	35	3	406	Chr4	R2	1
65	65	9603964	9739578	24	82	29	276	Chr4	R2	2
66	66	9764464	9896935	15	23	4	105	Chr4	R2	1
67	67	9908405	10049565	45	97	26	990	Chr4	R2	2
68	68	10053755	10191599	33	49	8	528	Chr4	R2	1
69	69	10202349	10349410	21	25	2	210	Chr4	R2	1
70	70	10353346	10472488	28	34	3	378	Chr4	R2	1
71	71	10506897	10649381	13	13	0	78	Chr4	R2	1
72	72	10651635	10798381	16	18	1	120	Chr4	R2	1
73	73	10800338	10943757	27	37	5	351	Chr4	R2	1
74	74	10987533	11099537	19	27	4	171	Chr4	R2	1
75	75	11100903	11243355	26	38	6	325	Chr4	R2	1
76	76	11254049	11388713	30	40	5	435	Chr4	R2	1
77	77	11401186	11547399	31	49	9	465	Chr4	R2	1
78	78	11555459	11699737	27	31	2	351	Chr4	R2	1
79	79	11700030	11849213	29	41	6	406	Chr4	R2	1
80	80	11850191	11996153	32	40	4	496	Chr4	R2	1
81	81	12001868	12145346	23	25	1	253	Chr4	R2	1
82	82	12163161	12291280	26	48	11	325	Chr4	R2	1
83	83	12306272	12444105	33	57	12	528	Chr4	R2	1
84	84	12459386	12553532	9	13	2	36	Chr4	R2	1
85	85	12606259	12740980	15	15	0	105	Chr4	R2	1
86	86	12758016	12899329	16	16	0	120	Chr4	R2	1
87	87	12902341	13031116	26	36	5	325	Chr4	R2	1
88	88	13063868	13198325	30	34	2	435	Chr4	R2	1
89	89	13200429	13318373	13	21	4	78	Chr4	R2	1
90	90	13398403	13448680	11	11	0	55	Chr4	R2	1
91	91	13597841	13647157	18	22	2	153	Chr4	R2	1
92	92	13668094	13795822	12	16	2	66	Chr4	R2	1
93	93	13810139	13941490	19	33	7	171	Chr4	R2	1
94	94	13959445	14097443	26	50	12	325	Chr4	R2	1
95	95	14105155	14205588	27	35	4	351	Chr4	R2	1
96	96	14272757	14398007	33	55	11	528	Chr4	R2	1
97	97	14409435	14542124	29	35	3	406	Chr4	R2	1
98	98	14576969	14697314	21	25	2	210	Chr4	R2	1
99	99	14703755	14840397	25	39	7	300	Chr4	R2	1
100	100	14857630	14997635	28	54	13	378	Chr4	R2	2
101	101	15006578	15146613	23	33	5	253	Chr4	R2	1
102	102	15150023	15299287	21	27	3	210	Chr4	R2	1
103	103	15308997	15448449	22	36	7	231	Chr4	R2	1
104	104	15458799	15599189	19	21	1	171	Chr4	R2	1
105	105	15615678	15723323	19	21	1	171	Chr4	R2	1
106	106	15754432	15899846	20	30	5	190	Chr4	R2	1
107	107	15900729	16040989	29	51	11	406	Chr4	R2	1
108	108	16076534	16181113	18	22	2	153	Chr4	R2	1
109	109	16208533	16333455	13	21	4	78	Chr4	R2	1
110	110	16353842	16497873	12	14	1	66	Chr4	R2	1
111	111	16500171	16641333	37	65	14	666	Chr4	R2	1
112	112	16654083	16796672	24	74	25	276	Chr4	R2	2
113	113	16814597	16946772	24	32	4	276	Chr4	R2	1
114	114	16951805	17097443	27	37	5	351	Chr4	R2	1
115	115	17104456	17249182	31	59	14	465	Chr4	R2	2
116	116	17250522	17386430	18	18	0	153	Chr4	R2	1
117	117	17404090	17488723	14	16	1	91	Chr4	R2	1
118	118	17559349	17672153	12	18	3	66	Chr4	R2	1
119	119	17752246	17847221	13	17	2	78	Chr4	R2	1
120	120	17850673	17997471	25	37	6	300	Chr4	R2	1
121	121	18003889	18149341	14	14	0	91	Chr4	R2	1
122	122	18150828	18294779	26	40	7	325	Chr4	R2	1
123	123	18320850	18449339	48	274	113	1128	Chr4	R2	2
124	124	18470378	18597001	15	19	2	105	Chr4	R2	1
125	125	18609111	18746945	39	59	10	741	Chr4	R2	1
126	126	18777731	18896656	18	34	8	153	Chr4	R2	1
127	127	18905445	19044972	14	14	0	91	Chr4	R2	1
128	128	19052642	19174106	25	29	2	300	Chr4	R2	1
129	129	19200753	19342244	30	46	8	435	Chr4	R2	1
130	130	19352213	19487790	26	32	3	325	Chr4	R2	1
131	131	19506278	19649980	30	58	14	435	Chr4	R2	2
132	132	19659933	19799541	18	22	2	153	Chr4	R2	1
133	133	19806554	19927955	31	41	5	465	Chr4	R2	1
134	134	19952130	20094626	39	75	18	741	Chr4	R2	2
135	135	20105238	20242598	32	58	13	496	Chr4	R2	1
136	136	20260210	20399572	18	24	3	153	Chr4	R2	1
137	137	20408340	20542712	29	73	22	406	Chr4	R2	2
138	138	20551170	20675170	28	54	13	378	Chr4	R2	2
139	139	20701136	20847157	27	55	14	351	Chr4	R2	2
140	140	20871089	20995570	32	54	11	496	Chr4	R2	1
141	141	21002260	21147735	28	36	4	378	Chr4	R2	1
142	142	21157863	21299499	28	76	24	378	Chr4	R2	2
143	143	21304523	21442827	33	53	10	528	Chr4	R2	1
144	144	21451615	21597994	25	39	7	300	Chr4	R2	1
145	145	21609184	21738243	32	50	9	496	Chr4	R2	1
146	146	21761415	21898679	24	36	6	276	Chr4	R2	1
147	147	21902913	22045997	30	42	6	435	Chr4	R2	1
148	148	22053588	22187296	39	137	49	741	Chr4	R2	2
149	149	22200997	22341353	37	101	32	666	Chr4	R2	2
150	150	22369749	22471428	8	12	2	28	Chr4	R2	1
151	151	22500595	22649330	27	31	2	351	Chr4	R2	1
152	152	22652795	22793011	23	45	11	253	Chr4	R2	1
153	153	22832090	22936130	10	10	0	45	Chr4	R2	1
154	154	22955303	23096553	16	18	1	120	Chr4	R2	1
155	155	23125889	23249309	10	12	1	45	Chr4	R2	1
156	156	23250464	23395174	25	33	4	300	Chr4	R2	1
157	157	23411396	23540077	28	42	7	378	Chr4	R2	1
158	158	23554422	23691298	33	53	10	528	Chr4	R2	1
159	159	23700969	23848906	23	35	6	253	Chr4	R2	1
160	160	23860077	23989490	10	10	0	45	Chr4	R2	1
161	161	24003259	24143895	22	30	4	231	Chr4	R2	1
162	162	24152663	24285955	17	25	4	136	Chr4	R2	1
163	163	24301818	24427974	20	30	5	190	Chr4	R2	1
164	164	24456674	24598540	29	37	4	406	Chr4	R2	1
165	165	24621958	24748501	17	25	4	136	Chr4	R2	1
166	166	24750247	24898611	29	55	13	406	Chr4	R2	2
167	167	24903610	25044750	21	33	6	210	Chr4	R2	1
168	168	25053199	25197826	30	50	10	435	Chr4	R2	1
169	169	25204977	25349885	27	55	14	351	Chr4	R2	2
170	170	25355027	25497950	25	41	8	300	Chr4	R2	1
171	171	25510406	25649355	17	19	1	136	Chr4	R2	1
172	172	25666501	25795668	23	31	4	253	Chr4	R2	1
173	173	25802036	25946196	33	51	9	528	Chr4	R2	1
174	174	25963448	26094455	24	34	5	276	Chr4	R2	1
175	175	26101609	26239738	27	55	14	351	Chr4	R2	2
176	176	26268249	26398806	20	30	5	190	Chr4	R2	1
177	177	26401139	26544366	30	50	10	435	Chr4	R2	1
178	178	26553943	26689575	44	94	25	946	Chr4	R2	2
179	179	26701851	26849138	37	55	9	666	Chr4	R2	1
180	180	26865401	26996989	25	43	9	300	Chr4	R2	1
181	181	27000797	27147720	21	35	7	210	Chr4	R2	1
182	182	27154652	27299785	34	58	12	561	Chr4	R2	1
183	183	27300654	27444920	36	100	32	630	Chr4	R2	2
184	184	27452832	27597359	62	176	57	1891	Chr4	R2	2
185	185	27608747	27744963	26	40	7	325	Chr4	R2	1
186	186	27754147	27894983	34	94	30	561	Chr4	R2	2
187	187	27901487	28044070	27	39	6	351	Chr4	R2	1
188	188	28060245	28196313	42	94	26	861	Chr4	R2	2
189	189	28202846	28339572	30	42	6	435	Chr4	R2	1
190	190	28366712	28494735	20	22	1	190	Chr4	R2	1
191	191	28529605	28644543	20	28	4	190	Chr4	R2	1
192	192	28650954	28793420	30	66	18	435	Chr4	R2	2
193	193	28814986	28947093	23	43	10	253	Chr4	R2	1
194	194	28954173	29098596	25	53	14	300	Chr4	R2	2
195	195	29102923	29247779	23	35	6	253	Chr4	R2	1
196	196	29253308	29397201	32	40	4	496	Chr4	R2	1
197	197	29403046	29530359	33	53	10	528	Chr4	R2	1
198	198	29556440	29699213	36	62	13	630	Chr4	R2	1
199	199	29719098	29844717	25	51	13	300	Chr4	R2	2
200	200	29858374	29996430	31	43	6	465	Chr4	R2	1
201	201	30001501	30135498	30	54	12	435	Chr4	R2	1
202	202	30150375	30288200	38	46	4	703	Chr4	R2	1
203	203	30300046	30446968	21	65	22	210	Chr4	R2	2
204	204	30456298	30598375	32	108	38	496	Chr4	R2	2
205	205	30611404	30749081	16	24	4	120	Chr4	R2	1
206	206	30764295	30899699	28	34	3	378	Chr4	R2	1
207	207	30900026	31047391	26	50	12	325	Chr4	R2	1
208	208	31050402	31194489	23	25	1	253	Chr4	R2	1
209	209	31203957	31348435	25	41	8	300	Chr4	R2	1
210	210	31367127	31496966	23	35	6	253	Chr4	R2	1
211	211	31507387	31587057	17	27	5	136	Chr4	R2	1
212	212	31659276	31779081	21	29	4	210	Chr4	R2	1
213	213	31800941	31937858	20	22	1	190	Chr4	R2	1
214	214	31969039	32078741	25	31	3	300	Chr4	R2	1
215	215	32101038	32241865	26	42	8	325	Chr4	R2	1
216	216	32260854	32399557	23	33	5	253	Chr4	R2	1
217	217	32401584	32549226	25	41	8	300	Chr4	R2	1
218	218	32552129	32684070	24	36	6	276	Chr4	R2	1
219	219	32710858	32849602	37	47	5	666	Chr4	R2	1
220	220	32868472	32996590	29	55	13	406	Chr4	R2	2
221	221	33006619	33145606	17	25	4	136	Chr4	R2	1
222	222	33160569	33299569	36	72	18	630	Chr4	R2	2
223	223	33307724	33441942	37	141	52	666	Chr4	R2	2
224	224	33464765	33590542	21	23	1	210	Chr4	R2	1
225	225	33603798	33749400	38	54	8	703	Chr4	R2	1
226	226	33794494	33893402	6	8	1	15	Chr4	R2	1
227	227	33910228	34044635	25	45	10	300	Chr4	R2	1
228	228	34053411	34194799	26	28	1	325	Chr4	R2	1
229	229	34201407	34327147	29	51	11	406	Chr4	R2	1
230	230	34351820	34494615	34	56	11	561	Chr4	R2	1
231	231	34500277	34647788	31	49	9	465	Chr4	R2	1
232	232	34650701	34799992	37	53	8	666	Chr4	R2	1
233	233	34811935	34946797	21	27	3	210	Chr4	R2	1
234	234	34959127	35085977	16	20	2	120	Chr4	R2	1
235	235	35132310	35248226	13	25	6	78	Chr4	R2	1
236	236	35269437	35396382	24	28	2	276	Chr4	R2	1
237	237	35405046	35544806	23	45	11	253	Chr4	R2	1
238	238	35560048	35691196	22	62	20	231	Chr4	R2	2
239	239	35700249	35836340	18	34	8	153	Chr4	R2	1
240	240	35850996	35981530	25	37	6	300	Chr4	R2	1
241	241	36003126	36138859	22	56	17	231	Chr4	R2	2
242	242	36151282	36299756	28	42	7	378	Chr4	R2	1
243	243	36302053	36449496	32	46	7	496	Chr4	R2	1
244	244	36452302	36587292	30	38	4	435	Chr4	R2	1
245	245	36600963	36730518	25	39	7	300	Chr4	R2	1
246	246	36751235	36897380	12	14	1	66	Chr4	R2	1
247	247	36909903	37049308	18	18	0	153	Chr4	R2	1
248	248	37052195	37187952	26	42	8	325	Chr4	R2	1
249	249	37202448	37339017	22	26	2	231	Chr4	R2	1
250	250	37366909	37477333	16	16	0	120	Chr4	R2	1
251	251	37504804	37647746	28	46	9	378	Chr4	R2	1
252	252	37659610	37793242	11	13	1	55	Chr4	R2	1
253	253	37805823	37927703	37	71	17	666	Chr4	R2	2
254	254	37952072	38099625	17	35	9	136	Chr4	R2	1
255	255	38103719	38235110	20	28	4	190	Chr4	R2	1
256	256	38254549	38346968	21	49	14	210	Chr4	R2	2
257	257	38401966	38548117	25	47	11	300	Chr4	R2	1
258	258	38552704	38686092	26	46	10	325	Chr4	R2	1
259	259	38710039	38846352	17	33	8	136	Chr4	R2	1
260	260	38852884	38997522	17	27	5	136	Chr4	R2	1
261	261	39002503	39145659	17	27	5	136	Chr4	R2	1
262	262	39158782	39294873	19	19	0	171	Chr4	R2	1
263	263	39316883	39447878	30	42	6	435	Chr4	R2	1
264	264	39451274	39588743	23	29	3	253	Chr4	R2	1
265	265	39608123	39740809	20	26	3	190	Chr4	R2	1
266	266	39753940	39889001	15	15	0	105	Chr4	R2	1
267	267	39952941	40049890	10	12	1	45	Chr4	R2	1
268	268	40055081	40184912	21	25	2	210	Chr4	R2	1
269	269	40226591	40322773	10	12	1	45	Chr4	R2	1
270	270	40351406	40493199	15	15	0	105	Chr4	R2	1
271	271	40502664	40634242	16	18	1	120	Chr4	R2	1
272	272	40662025	40776587	14	14	0	91	Chr4	R2	1
273	273	40811246	40946125	15	25	5	105	Chr4	R2	1
274	274	40962169	41098079	26	42	8	325	Chr4	R2	1
275	275	41105019	41229865	17	21	2	136	Chr4	R2	1
276	276	41254388	41373714	11	15	2	55	Chr4	R2	1
277	277	41401805	41549201	29	39	5	406	Chr4	R2	1
278	278	41552409	41696386	18	26	4	153	Chr4	R2	1
279	279	41709177	41844099	20	24	2	190	Chr4	R2	1
280	280	41850443	41985423	32	70	19	496	Chr4	R2	2
281	281	42028828	42110863	13	13	0	78	Chr4	R2	1
282	282	42158170	42298720	25	39	7	300	Chr4	R2	1
283	283	42308980	42412059	13	15	1	78	Chr4	R2	1
284	284	42474933	42590969	8	8	0	28	Chr4	R2	1
285	285	42614790	42739541	7	9	1	21	Chr4	R2	1
286	286	42782334	42883399	9	11	1	36	Chr4	R2	1
287	287	42902583	43047561	24	34	5	276	Chr4	R2	1
288	288	43051068	43196765	22	50	14	231	Chr4	R2	2
289	289	43203655	43343611	15	19	2	105	Chr4	R2	1
290	290	43378258	43465136	6	6	0	15	Chr4	R2	1
291	291	43512309	43642622	13	25	6	78	Chr4	R2	1
292	292	43652037	43797635	13	21	4	78	Chr4	R2	1
293	293	43802067	43947754	19	31	6	171	Chr4	R2	1
294	294	43950772	44080034	19	19	0	171	Chr4	R2	1
295	295	44100228	44195233	22	38	8	231	Chr4	R2	1
296	296	44253946	44380448	19	19	0	171	Chr4	R2	1
297	297	44429192	44544215	11	13	1	55	Chr4	R2	1
298	298	44553517	44662959	6	6	0	15	Chr4	R2	1
299	299	44710915	44845990	7	11	2	21	Chr4	R2	1
300	300	44875517	44996480	20	46	13	190	Chr4	R2	2
301	301	45007595	45109335	19	29	5	171	Chr4	R2	1
302	302	45238791	45299692	5	5	0	10	Chr4	R2	1
303	303	45305777	45418800	17	19	1	136	Chr4	R2	1
304	304	45486551	45598878	17	25	4	136	Chr4	R2	1
305	305	45629791	45736968	22	36	7	231	Chr4	R2	1
306	306	45806161	45893248	12	14	1	66	Chr4	R2	1
307	307	45906235	46049487	26	38	6	325	Chr4	R2	1
308	308	46051481	46197852	16	30	7	120	Chr4	R2	1
309	309	46203504	46345615	25	29	2	300	Chr4	R2	1
310	310	46388061	46496806	9	11	1	36	Chr4	R2	1
311	311	46531027	46643475	14	18	2	91	Chr4	R2	1
312	312	46655841	46795472	16	22	3	120	Chr4	R2	1
313	313	46812202	46940598	18	28	5	153	Chr4	R2	1
314	314	46962223	47087923	16	30	7	120	Chr4	R2	1
315	315	47129710	47248533	11	15	2	55	Chr4	R2	1
316	316	47250481	47398763	10	12	1	45	Chr4	R2	1
317	317	47403729	47541785	23	35	6	253	Chr4	R2	1
318	318	47567998	47690808	14	18	2	91	Chr4	R2	1
319	319	47707761	47847164	13	21	4	78	Chr4	R2	1
320	320	47870834	47989895	33	59	13	528	Chr4	R2	1
321	321	48049125	48053349	4	4	0	6	Chr4	R2	1
322	322	48184925	48285168	9	9	0	36	Chr4	R2	1
323	323	48318132	48448527	7	7	0	21	Chr4	R2	1
324	324	48462777	48579814	17	17	0	136	Chr4	R2	1
325	325	48633575	48748645	19	31	6	171	Chr4	R2	1
326	326	48761995	48886153	17	23	3	136	Chr4	R2	1
327	327	48911037	49040327	9	17	4	36	Chr4	R2	1
328	328	49067940	49199905	15	27	6	105	Chr4	R2	1
329	329	49205045	49341812	20	40	10	190	Chr4	R2	1
330	330	49361168	49452221	18	28	5	153	Chr4	R2	1
331	331	49516937	49649062	13	21	4	78	Chr4	R2	1
332	332	49659708	49768938	16	18	1	120	Chr4	R2	1
333	333	49810788	49937817	30	52	11	435	Chr4	R2	1
334	334	49953848	50064353	17	21	2	136	Chr4	R2	1
335	335	50111190	50248491	36	40	2	630	Chr4	R2	1
336	336	50255697	50397961	20	22	1	190	Chr4	R2	1
337	337	50400397	50541723	39	57	9	741	Chr4	R2	1
338	338	50550081	50699762	17	29	6	136	Chr4	R2	1
339	339	50701202	50840471	21	27	3	210	Chr4	R2	1
340	340	50867709	50992209	20	24	2	190	Chr4	R2	1
341	341	51004864	51149317	30	36	3	435	Chr4	R2	1
342	342	51155468	51285873	42	98	28	861	Chr4	R2	2
343	343	51304544	51448871	47	117	35	1081	Chr4	R2	2
344	344	51458142	51588137	38	64	13	703	Chr4	R2	1
345	345	51610609	51748543	37	87	25	666	Chr4	R2	2
346	346	51753557	51823301	30	98	34	435	Chr4	R2	2
