X	Bin	BpMin	BpMax	Total	Hits	RealHits	MaxHits	Chr	Pop	Colour
1	1	19134	148594	25	95	35	300	ChrX	S1	2
2	2	159442	296550	20	40	10	190	ChrX	S1	1
3	3	303852	448963	25	61	18	300	ChrX	S1	2
4	4	457152	595521	33	65	16	528	ChrX	S1	2
5	5	605185	748877	33	53	10	528	ChrX	S1	1
6	6	762483	896752	40	42	1	780	ChrX	S1	1
7	7	919463	946478	4	4	0	6	ChrX	S1	1
8	8	1070273	1197791	16	18	1	120	ChrX	S1	1
9	9	1215959	1323216	32	34	1	496	ChrX	S1	1
10	10	1366263	1496957	15	15	0	105	ChrX	S1	1
11	11	1506388	1638827	19	23	2	171	ChrX	S1	1
12	12	1662273	1797816	16	18	1	120	ChrX	S1	1
13	13	1811301	1947081	28	34	3	378	ChrX	S1	1
14	14	1956258	2079101	20	38	9	190	ChrX	S1	1
15	15	2102546	2240151	42	76	17	861	ChrX	S1	2
16	16	2250611	2390437	14	14	0	91	ChrX	S1	1
17	17	2400113	2499654	16	20	2	120	ChrX	S1	1
18	18	2557113	2696878	16	20	2	120	ChrX	S1	1
19	19	2701244	2813143	9	9	0	36	ChrX	S1	1
20	20	2852972	2996279	24	24	0	276	ChrX	S1	1
21	21	3001008	3139722	18	24	3	153	ChrX	S1	1
22	22	3155874	3238162	7	7	0	21	ChrX	S1	1
23	23	3374154	3445293	9	11	1	36	ChrX	S1	1
24	24	3453582	3593019	12	14	1	66	ChrX	S1	1
25	25	3601069	3733937	23	33	5	253	ChrX	S1	1
26	26	3752072	3888949	20	24	2	190	ChrX	S1	1
27	27	3907986	4018359	14	14	0	91	ChrX	S1	1
28	28	4071800	4196448	24	40	8	276	ChrX	S1	1
29	29	4203598	4335545	29	37	4	406	ChrX	S1	1
30	30	4355171	4491256	25	27	1	300	ChrX	S1	1
31	31	4501041	4639272	26	40	7	325	ChrX	S1	1
32	32	4660267	4790394	15	17	1	105	ChrX	S1	1
33	33	4846029	4943526	11	11	0	55	ChrX	S1	1
34	34	4950179	5096455	29	31	1	406	ChrX	S1	1
35	35	5101444	5234055	18	20	1	153	ChrX	S1	1
36	36	5262792	5392026	28	38	5	378	ChrX	S1	1
37	37	5401462	5543177	18	18	0	153	ChrX	S1	1
38	38	5551135	5698484	23	27	2	253	ChrX	S1	1
39	39	5700276	5841757	24	28	2	276	ChrX	S1	1
40	40	5851149	5905157	7	7	0	21	ChrX	S1	1
41	41	6008554	6104163	11	11	0	55	ChrX	S1	1
42	42	6164609	6295307	17	19	1	136	ChrX	S1	1
43	43	6300328	6449816	20	24	2	190	ChrX	S1	1
44	44	6450377	6597242	24	28	2	276	ChrX	S1	1
45	45	6602180	6732358	16	16	0	120	ChrX	S1	1
46	46	6751501	6876152	21	23	1	210	ChrX	S1	1
47	47	6907287	7037755	21	21	0	210	ChrX	S1	1
48	48	7066521	7197723	13	17	2	78	ChrX	S1	1
49	49	7201338	7343839	25	33	4	300	ChrX	S1	1
50	50	7354050	7484256	20	20	0	190	ChrX	S1	1
51	51	7630959	7646657	4	4	0	6	ChrX	S1	1
52	52	7652608	7795356	25	33	4	300	ChrX	S1	1
53	53	7828605	7948867	12	12	0	66	ChrX	S1	1
54	54	7953674	8097528	22	28	3	231	ChrX	S1	1
55	55	8109109	8226906	14	14	0	91	ChrX	S1	1
56	56	8259188	8393688	19	29	5	171	ChrX	S1	1
57	57	8402345	8540088	18	30	6	153	ChrX	S1	1
58	58	8550655	8695687	10	16	3	45	ChrX	S1	1
59	59	8734407	8843731	11	13	1	55	ChrX	S1	1
60	60	8863501	8999800	7	7	0	21	ChrX	S1	1
61	61	9018524	9143483	9	11	1	36	ChrX	S1	1
62	62	9195513	9296154	7	7	0	21	ChrX	S1	1
63	63	9300459	9447544	7	7	0	21	ChrX	S1	1
64	64	9559304	9599992	4	4	0	6	ChrX	S1	1
65	65	9605085	9711208	11	83	36	55	ChrX	S1	2
66	66	9751818	9898836	30	630	300	435	ChrX	S1	2
67	67	9903191	10047433	42	1116	537	861	ChrX	S1	2
68	68	10052183	10191871	17	89	36	136	ChrX	S1	2
69	69	10216107	10216107	1	1	0	0	ChrX	S1	1
70	70	10378729	10411133	4	4	0	6	ChrX	S1	1
71	71	10507096	10638096	17	21	2	136	ChrX	S1	1
72	72	10677883	10780803	6	6	0	15	ChrX	S1	1
73	73	10843883	10945007	16	24	4	120	ChrX	S1	1
74	74	10979435	11079509	8	8	0	28	ChrX	S1	1
75	75	11109269	11244110	16	24	4	120	ChrX	S1	1
76	76	11250775	11391916	15	19	2	105	ChrX	S1	1
77	77	11425084	11546055	26	208	91	325	ChrX	S1	2
78	78	11554031	11687064	10	10	0	45	ChrX	S1	1
79	79	11825181	11825181	1	1	0	0	ChrX	S1	1
80	80	11877309	11998535	8	10	1	28	ChrX	S1	1
81	81	12038014	12137654	7	7	0	21	ChrX	S1	1
82	82	12238500	12295105	3	3	0	3	ChrX	S1	1
83	83	12348709	12429589	4	4	0	6	ChrX	S1	1
84	84	12470539	12588479	3	3	0	3	ChrX	S1	1
85	85	12638719	12746829	8	8	0	28	ChrX	S1	1
86	86	12763381	12888793	10	10	0	45	ChrX	S1	1
87	87	12904621	13010638	10	14	2	45	ChrX	S1	1
88	88	13140595	13186145	6	8	1	15	ChrX	S1	1
89	89	13207657	13330407	9	9	0	36	ChrX	S1	1
90	90	13369604	13494532	9	9	0	36	ChrX	S1	1
91	91	13506136	13558036	4	6	1	6	ChrX	S1	1
92	92	13741580	13768499	3	3	0	3	ChrX	S1	1
93	93	13811954	13936091	7	9	1	21	ChrX	S1	1
94	94	13951295	14068723	12	16	2	66	ChrX	S1	1
95	95	14116480	14239248	11	37	13	55	ChrX	S1	2
96	96	14267980	14388437	11	59	24	55	ChrX	S1	2
97	97	14406348	14530845	27	75	24	351	ChrX	S1	2
98	98	14553867	14691654	31	293	131	465	ChrX	S1	2
99	99	14701235	14848128	16	116	50	120	ChrX	S1	2
100	100	14863173	14999123	13	15	1	78	ChrX	S1	1
101	101	15006613	15138228	6	6	0	15	ChrX	S1	1
102	102	15173508	15297554	10	16	3	45	ChrX	S1	1
103	103	15301903	15448066	8	10	1	28	ChrX	S1	1
104	104	15450049	15598365	12	22	5	66	ChrX	S1	1
105	105	15618660	15730193	18	46	14	153	ChrX	S1	2
106	106	15752022	15898560	19	151	66	171	ChrX	S1	2
107	107	15901019	16042600	25	155	65	300	ChrX	S1	2
108	108	16054987	16195979	31	127	48	465	ChrX	S1	2
109	109	16218533	16344672	10	24	7	45	ChrX	S1	1
110	110	16379282	16497507	17	33	8	136	ChrX	S1	1
111	111	16501890	16647083	14	20	3	91	ChrX	S1	1
112	112	16650115	16777836	18	48	15	153	ChrX	S1	2
113	113	16814348	16931572	26	66	20	325	ChrX	S1	2
114	114	16950105	17087783	23	121	49	253	ChrX	S1	2
115	115	17100693	17235019	22	154	66	231	ChrX	S1	2
116	116	17252506	17396956	9	29	10	36	ChrX	S1	2
117	117	17404333	17547653	17	43	13	136	ChrX	S1	2
118	118	17558040	17693209	16	62	23	120	ChrX	S1	2
119	119	17710706	17849124	13	25	6	78	ChrX	S1	1
120	120	17856173	17997403	22	84	31	231	ChrX	S1	2
121	121	18005912	18148027	22	78	28	231	ChrX	S1	2
122	122	18152188	18282739	20	66	23	190	ChrX	S1	2
123	123	18319502	18440927	13	19	3	78	ChrX	S1	1
124	124	18453355	18592590	23	67	22	253	ChrX	S1	2
125	125	18601207	18745518	20	58	19	190	ChrX	S1	2
126	126	18752705	18890798	28	176	74	378	ChrX	S1	2
127	127	18906834	19046121	28	120	46	378	ChrX	S1	2
128	128	19050485	19199784	27	85	29	351	ChrX	S1	2
129	129	19207133	19344613	15	57	21	105	ChrX	S1	2
130	130	19399887	19499764	10	22	6	45	ChrX	S1	1
131	131	19502048	19648317	26	114	44	325	ChrX	S1	2
132	132	19650397	19793054	30	286	128	435	ChrX	S1	2
133	133	19805373	19933340	19	49	15	171	ChrX	S1	2
134	134	19991461	20099194	21	91	35	210	ChrX	S1	2
135	135	20102095	20199397	8	10	1	28	ChrX	S1	1
136	136	20315489	20396049	13	43	15	78	ChrX	S1	2
137	137	20403434	20541446	20	154	67	190	ChrX	S1	2
138	138	20558812	20699549	13	25	6	78	ChrX	S1	1
139	139	20730247	20835112	10	14	2	45	ChrX	S1	1
140	140	20873304	20998368	7	7	0	21	ChrX	S1	1
141	141	21007669	21133200	8	12	2	28	ChrX	S1	1
142	142	21151243	21264061	6	6	0	15	ChrX	S1	1
143	143	21315905	21413322	19	27	4	171	ChrX	S1	1
144	144	21461322	21596717	10	14	2	45	ChrX	S1	1
145	145	21613078	21723607	12	20	4	66	ChrX	S1	1
146	146	21831449	21886564	5	5	0	10	ChrX	S1	1
147	147	21914417	22013288	9	11	1	36	ChrX	S1	1
148	148	22099798	22131405	9	11	1	36	ChrX	S1	1
