X	Bin	BpMin	BpMax	Total	Hits	RealHits	MaxHits	Chr	Pop	Colour
1	1	19134	148594	22	56	17	231	ChrX	R1	2
2	2	159442	296550	19	35	8	171	ChrX	R1	1
3	3	303838	448963	21	43	11	210	ChrX	R1	2
4	4	457152	595521	29	83	27	406	ChrX	R1	2
5	5	605185	748877	32	52	10	496	ChrX	R1	1
6	6	758004	896752	40	60	10	780	ChrX	R1	1
7	7	919463	946478	4	4	0	6	ChrX	R1	1
8	8	1070273	1197791	16	16	0	120	ChrX	R1	1
9	9	1215495	1323216	32	42	5	496	ChrX	R1	1
10	10	1366263	1496957	14	14	0	91	ChrX	R1	1
11	11	1506388	1638827	17	25	4	136	ChrX	R1	1
12	12	1662273	1797816	14	14	0	91	ChrX	R1	1
13	13	1811301	1947081	28	32	2	378	ChrX	R1	1
14	14	1956258	2076472	15	19	2	105	ChrX	R1	1
15	15	2102546	2240151	43	69	13	903	ChrX	R1	1
16	16	2250611	2390437	14	16	1	91	ChrX	R1	1
17	17	2400113	2499654	14	18	2	91	ChrX	R1	1
18	18	2557113	2696878	16	20	2	120	ChrX	R1	1
19	19	2701244	2813143	7	7	0	21	ChrX	R1	1
20	20	2852972	2996279	23	23	0	253	ChrX	R1	1
21	21	3001008	3139722	17	17	0	136	ChrX	R1	1
22	22	3155874	3282607	8	10	1	28	ChrX	R1	1
23	23	3374154	3446712	10	10	0	45	ChrX	R1	1
24	24	3453582	3593019	12	14	1	66	ChrX	R1	1
25	25	3601069	3733937	24	42	9	276	ChrX	R1	1
26	26	3752072	3888949	19	23	2	171	ChrX	R1	1
27	27	3907986	4018359	15	17	1	105	ChrX	R1	1
28	28	4067185	4196448	24	36	6	276	ChrX	R1	1
29	29	4203598	4335545	27	35	4	351	ChrX	R1	1
30	30	4355171	4491256	22	26	2	231	ChrX	R1	1
31	31	4501041	4639272	26	34	4	325	ChrX	R1	1
32	32	4660267	4790394	16	20	2	120	ChrX	R1	1
33	33	4846029	4943526	11	11	0	55	ChrX	R1	1
34	34	4950179	5096455	30	36	3	435	ChrX	R1	1
35	35	5101444	5234055	19	23	2	171	ChrX	R1	1
36	36	5250337	5392026	25	27	1	300	ChrX	R1	1
37	37	5401705	5543177	17	17	0	136	ChrX	R1	1
38	38	5551135	5698484	25	35	5	300	ChrX	R1	1
39	39	5700276	5841757	24	26	1	276	ChrX	R1	1
40	40	5851149	5896940	6	6	0	15	ChrX	R1	1
41	41	6008554	6121317	12	12	0	66	ChrX	R1	1
42	42	6164609	6295307	17	19	1	136	ChrX	R1	1
43	43	6300328	6449816	22	32	5	231	ChrX	R1	1
44	44	6450377	6597242	25	39	7	300	ChrX	R1	1
45	45	6609597	6695857	14	16	1	91	ChrX	R1	1
46	46	6751501	6898057	23	31	4	253	ChrX	R1	1
47	47	6907287	7037755	18	20	1	153	ChrX	R1	1
48	48	7066521	7197723	13	13	0	78	ChrX	R1	1
49	49	7201338	7343839	25	33	4	300	ChrX	R1	1
50	50	7354050	7492184	20	26	3	190	ChrX	R1	1
51	51	7630959	7646657	4	4	0	6	ChrX	R1	1
52	52	7652608	7795356	24	32	4	276	ChrX	R1	1
53	53	7828605	7948867	18	30	6	153	ChrX	R1	1
54	54	7950649	8097528	22	30	4	231	ChrX	R1	1
55	55	8109109	8226906	15	15	0	105	ChrX	R1	1
56	56	8259188	8393688	16	20	2	120	ChrX	R1	1
57	57	8402345	8540088	21	33	6	210	ChrX	R1	1
58	58	8550655	8681274	13	21	4	78	ChrX	R1	1
59	59	8713924	8847528	21	57	18	210	ChrX	R1	2
60	60	8859791	8999800	15	63	24	105	ChrX	R1	2
61	61	9018524	9143483	12	24	6	66	ChrX	R1	1
62	62	9163227	9296154	12	18	3	66	ChrX	R1	1
63	63	9300459	9447544	7	7	0	21	ChrX	R1	1
64	64	9574867	9595738	6	8	1	15	ChrX	R1	1
65	65	9605085	9711208	16	90	37	120	ChrX	R1	2
66	66	9751818	9898836	30	196	83	435	ChrX	R1	2
67	67	9903191	10047433	47	221	87	1081	ChrX	R1	2
68	68	10052183	10191871	21	49	14	210	ChrX	R1	2
69	69	10214091	10216107	2	2	0	1	ChrX	R1	1
70	70	10378729	10411133	4	4	0	6	ChrX	R1	1
71	71	10507096	10638096	17	17	0	136	ChrX	R1	1
72	72	10696259	10780803	8	8	0	28	ChrX	R1	1
73	73	10843883	10945007	16	26	5	120	ChrX	R1	1
74	74	10970805	11079509	15	45	15	105	ChrX	R1	2
75	75	11109269	11244110	14	20	3	91	ChrX	R1	1
76	76	11279554	11391916	17	27	5	136	ChrX	R1	1
77	77	11425084	11546055	28	60	16	378	ChrX	R1	2
78	78	11554031	11687064	10	10	0	45	ChrX	R1	1
79	79	11798012	11825181	2	2	0	1	ChrX	R1	1
80	80	11877309	11998535	8	8	0	28	ChrX	R1	1
81	81	12009116	12137654	8	10	1	28	ChrX	R1	1
82	82	12238500	12295105	3	3	0	3	ChrX	R1	1
83	83	12348709	12433245	5	5	0	10	ChrX	R1	1
84	84	12470539	12588479	5	7	1	10	ChrX	R1	1
85	85	12638719	12746829	8	10	1	28	ChrX	R1	1
86	86	12763381	12888793	10	16	3	45	ChrX	R1	1
87	87	12904621	13023804	11	15	2	55	ChrX	R1	1
88	88	13140595	13177182	6	8	1	15	ChrX	R1	1
89	89	13207657	13330407	8	8	0	28	ChrX	R1	1
90	90	13369604	13494532	9	9	0	36	ChrX	R1	1
91	91	13506136	13558036	4	4	0	6	ChrX	R1	1
92	92	13741580	13768499	3	3	0	3	ChrX	R1	1
93	93	13811954	13936091	11	13	1	55	ChrX	R1	1
94	94	13951295	14068723	14	14	0	91	ChrX	R1	1
95	95	14116480	14239248	12	16	2	66	ChrX	R1	1
96	96	14267980	14388437	10	28	9	45	ChrX	R1	2
97	97	14406348	14533053	28	64	18	378	ChrX	R1	2
98	98	14553867	14691654	32	404	186	496	ChrX	R1	2
99	99	14701235	14848128	16	44	14	120	ChrX	R1	2
100	100	14863173	14999123	14	18	2	91	ChrX	R1	1
